day_text,time_text,team_text,location,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,temp,rain,wind,d_wind,humidity,atmosphere,surface
9.16수,19:00,롯데 자이언츠,부산,14,0,0,6,1,2,1,22.5,0,2.6,180,86,1000.7,23.4
9.16수,19:00,키움 히어로즈,부산,4,0,1,12,0,0,0,22.5,0,2.6,180,86,1000.7,23.4
9.16수,19:00,NC 다이노스,창원,8,2,2,10,0,0,1,22,0,0.6,250,88,1004.7,23
9.16수,19:00,두산 베어스,창원,7,0,0,6,1,1,0,22,0,0.6,250,88,1004.7,23
9.16수,19:00,SK 와이번스,인천,11,0,0,5,1,0,1,21.5,0,2.6,230,88,1000.2,22
9.16수,19:00,KIA 타이거즈,인천,10,1,0,6,1,1,0,21.5,0,2.6,230,88,1000.2,22
9.16수,19:00,삼성 라이온즈,대구,14,0,0,4,1,0,0,23,0,0.8,160,80,1002.6,23.3
9.16수,19:00,kt wiz,대구,19,1,0,8,0,0,1,23,0,0.8,160,80,1002.6,23.3
9.17목,19:00,한화 이글스,대전,3,0,0,13,0,0,0,22.4,0,0.2,0,89,1002.1,22.3
9.17목,19:00,키움 히어로즈,대전,4,0,0,9,1,0,1,22.4,0,0.2,0,89,1002.1,22.3
9.17목,19:00,KIA 타이거즈,광주,16,3,0,6,1,0,1,19.1,0.6,1.2,180,98,1002.8,20.8
9.17목,19:00,삼성 라이온즈,광주,7,0,0,11,0,2,0,19.1,0.6,1.2,180,98,1002.8,20.8
9.17목,19:00,롯데 자이언츠,부산,8,0,0,5,2,3,0,20,0.3,2.9,270,89,1001.6,22
9.17목,19:00,LG 트윈스,부산,8,2,1,6,0,1,1,20,0.3,2.9,270,89,1001.6,22
9.17목,19:00,NC 다이노스,창원,9,2,1,6,1,0,1,19.6,0.4,0.1,0,93,1005.6,21.8
9.17목,19:00,SK 와이번스,창원,4,0,1,11,0,0,0,19.6,0.4,0.1,0,93,1005.6,21.8
9.17목,19:00,두산 베어스,서울,6,0,0,5,2,0,0,21.3,0,2.8,270,63,999.9,19.3
9.17목,19:00,kt wiz,서울,9,0,3,8,0,3,1,21.3,0,2.8,270,63,999.9,19.3
9.18금,19:00,한화 이글스,대전,8,0,0,10,0,0,1,21.3,0,1.7,270,55,1006.8,19.1
9.18금,19:00,키움 히어로즈,대전,4,0,1,9,0,1,0,21.3,0,1.7,270,55,1006.8,19.1
9.18금,19:00,KIA 타이거즈,광주,15,2,0,4,1,2,1,20.8,0,0.5,320,69,1007.1,19.3
9.18금,19:00,삼성 라이온즈,광주,9,0,0,9,1,1,0,20.8,0,0.5,320,69,1007.1,19.3
9.18금,19:00,롯데 자이언츠,부산,8,0,3,8,1,0,1,20.4,0,2.7,230,75,1005.9,20.3
9.18금,19:00,LG 트윈스,부산,7,1,1,6,0,2,0,20.4,0,2.7,230,75,1005.9,20.3
9.18금,19:00,NC 다이노스,창원,8,1,1,6,0,0,1,19.6,0,0.5,250,82,1009.9,21.5
9.18금,19:00,SK 와이번스,창원,8,3,0,4,1,0,0,19.6,0,0.5,250,82,1009.9,21.5
9.18금,19:00,두산 베어스,서울,11,1,0,4,1,0,0,22.1,0,3.5,250,65,1002.9,19.6
9.18금,19:00,kt wiz,서울,11,2,0,11,1,1,1,22.1,0,3.5,250,65,1002.9,19.6
9.19토,17:00,한화 이글스,대전,5,0,0,11,0,1,0,23.2,0.8,2.2,290,76,1006.5,25.1
9.19토,17:00,KIA 타이거즈,대전,10,0,1,4,0,0,1,23.2,0.8,2.2,290,76,1006.5,25.1
9.19토,17:00,kt wiz,수원,8,0,1,11,1,1,1,24.4,0,3.7,270,41,1009.6,20.6
9.19토,17:00,SK 와이번스,수원,3,0,0,6,1,1,0,24.4,0,3.7,270,41,1009.6,20.6
9.19토,17:00,LG 트윈스,서울,18,2,2,6,2,1,1,24.7,0,4.3,250,47,1003.6,24.2
9.19토,17:00,두산 베어스,서울,10,2,0,8,1,1,0,24.7,0,4.3,250,47,1003.6,24.2
9.19토,17:00,NC 다이노스,창원,10,1,1,7,2,0,0,23.7,0,0.7,230,58,1010.4,27.2
9.19토,17:00,롯데 자이언츠,창원,7,2,0,8,1,0,1,23.7,0,0.7,230,58,1010.4,27.2
9.19토,17:00,키움 히어로즈,서울,15,0,2,12,0,1,1,24.7,0,4.3,250,47,1003.6,24.2
9.19토,17:00,삼성 라이온즈,서울,11,2,2,6,2,0,0,24.7,0,4.3,250,47,1003.6,24.2
9.20일,14:00,한화 이글스,대전,16,1,0,10,0,0,1,24.7,0,3.1,320,45,1008.7,30.3
9.20일,14:00,KIA 타이거즈,대전,9,1,0,7,1,0,0,24.7,0,3.1,320,45,1008.7,30.3
9.20일,14:00,kt wiz,수원,11,1,2,10,0,1,1,23.9,0,3.7,320,37,1012.1,28
9.20일,14:00,SK 와이번스,수원,3,0,0,4,3,2,0,23.9,0,3.7,320,37,1012.1,28
9.20일,14:00,LG 트윈스,서울,10,2,0,11,0,1,0,24.7,0,3.2,230,43,1006.3,32.3
9.20일,14:00,두산 베어스,서울,9,1,1,6,3,0,1,24.7,0,3.2,230,43,1006.3,32.3
9.20일,14:00,NC 다이노스,창원,10,0,2,6,1,1,1,25,0,2.2,50,37,1011.2,32.2
