day_text,,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,,지점명,,,,,,,,지점,지점명,일시,기온(°C),강수량(mm),습도(%)
5.24토,5.2,키움 히어로즈,6,1,1,7,0,0,패,0,대구,,,,,,,,108,서울,9.14,25.3,,56
5.24토,5.2,삼성 라이온즈,7,3,3,4,0,0,승,1,대구,,,,,,,,108,서울,9.15,24.9,,57
5.25일,5.2,한화 이글스,12,0,3,8,2,0,패,0,서울,,,,,,,,108,서울,9.16,23.1,,35
5.25일,5.2,두산 베어스,18,1,0,2,2,1,승,1,서울,,,,,,,,108,서울,9.17,22,,52
5.25일,5.2,KIA 타이거즈,14,1,1,4,2,0,승,0,부산,,,,,,,,108,서울,9.18,24.8,,43
5.25일,5.2,롯데 자이언츠,6,1,0,7,0,1,패,1,부산,,,,,,,,108,서울,9.19,25.5,,38
5.25일,5.2,LG 트윈스,6,0,1,5,0,1,패,0,인천,,,,,,,,108,서울,9.20,25.9,,27
5.25일,5.2,SK 와이번스,12,0,5,5,0,0,승,1,인천,,,,,,,,108,서울,9.21,24.1,,47
5.25일,5.2,키움 히어로즈,5,1,0,11,0,2,패,0,대구,,,,,,,,108,서울,9.22,26.1,,36
5.25일,5.2,삼성 라이온즈,23,2,0,7,2,0,승,1,대구,,,,,,,,108,서울,9.23,25.7,,35
5.27화,5.2,NC 다이노스,19,5,0,8,1,2,승,0,대전,,,,,,,,108,서울,9.24,22.2,,67
5.27화,5.2,한화 이글스,15,0,1,4,1,2,패,1,대전,,,,,,,,108,서울,9.25,25.3,,58
5.27화,5.2,두산 베어스,11,1,0,10,0,0,패,0,광주,,,,,,,,108,서울,9.26,21.5,0,84
5.27화,5.2,KIA 타이거즈,12,0,0,8,2,0,승,1,광주,,,,,,,,108,서울,9.27,23.1,,74
5.27화,5.2,SK 와이번스,10,0,0,6,1,1,패,0,서울,,,,,,,,108,서울,9.28,23.5,,75
5.27화,5.2,키움 히어로즈,15,3,2,4,2,0,승,1,서울,,,,,,,,108,서울,9.29,19.2,,96
5.27화,5.2,삼성 라이온즈,8,0,0,9,1,0,패,0,서울,,,,,,,,108,서울,9.30,20.6,,60
5.27화,5.2,LG 트윈스,9,0,1,6,1,2,승,1,서울,,,,,,,,108,서울,10.1,22.2,,60
5.28수,5.2,NC 다이노스,17,4,0,9,0,0,승,0,대전,,,,,,,,108,서울,10.2,18,1,99
5.28수,5.2,한화 이글스,7,0,0,7,0,0,패,1,대전,,,,,,,,108,서울,10.3,18.5,,60
5.28수,5.2,두산 베어스,13,2,2,4,1,1,승,0,광주,,,,,,,,108,서울,10.4,19.7,,49
5.28수,5.2,KIA 타이거즈,12,1,1,10,0,0,패,1,광주,,,,,,,,108,서울,10.5,20.6,,46
5.28수,5.2,SK 와이번스,7,1,2,4,1,0,패,0,서울,,,,,,,,108,서울,10.6,19.9,,45
5.28수,5.2,키움 히어로즈,7,2,0,2,2,0,승,1,서울,,,,,,,,108,서울,10.7,18.3,,46
5.28수,5.2,삼성 라이온즈,12,1,1,1,1,0,승,0,서울,,,,,,,,108,서울,10.8,20.3,,54
5.28수,5.2,LG 트윈스,9,0,2,6,1,0,패,1,서울,,,,,,,,108,서울,10.9,22.1,,46
5.29목,5.2,NC 다이노스,19,2,0,2,1,0,승,0,대전,,,,,,,,108,서울,10.10,22,,58
5.29목,5.2,한화 이글스,16,0,0,4,3,0,패,1,대전,,,,,,,,108,서울,10.11,23.1,,49
5.29목,5.2,두산 베어스,22,1,2,6,0,0,승,0,광주,,,,,,,,108,서울,10.12,25.8,,35
5.29목,5.2,KIA 타이거즈,16,2,2,10,1,0,패,1,광주,,,,,,,,108,서울,10.13,15.5,,54
5.29목,5.2,SK 와이번스,16,1,4,7,1,1,승,0,서울,,,,,,,,108,서울,10.14,16.3,,43
5.29목,5.2,키움 히어로즈,7,1,4,10,0,0,패,1,서울,,,,,,,,108,서울,10.15,15.3,,49
5.29목,5.2,삼성 라이온즈,8,1,4,5,2,0,승,0,서울,,,,,,,,108,서울,10.16,14.9,,26
5.29목,5.2,LG 트윈스,6,0,1,7,1,1,패,1,서울,,,,,,,,108,서울,10.17,16.9,,48
5.30금,5.3,LG 트윈스,8,0,1,9,0,1,패,0,서울,,,,,,,,108,서울,10.18,19.2,,62
5.30금,5.3,키움 히어로즈,13,2,2,7,2,0,승,1,서울,,,,,,,,108,서울,10.19,20.3,,38
5.30금,5.3,롯데 자이언츠,7,1,1,6,1,0,패,0,서울,,,,,,,,108,서울,10.20,15.4,,98
5.30금,5.3,두산 베어스,11,0,1,3,1,0,승,1,서울,,,,,,,,108,서울,10.21,12.4,0.5,91
5.30금,5.3,NC 다이노스,14,0,2,6,0,2,승,0,광주,,,,,,,,108,서울,10.22,14.9,,62
5.30금,5.3,KIA 타이거즈,8,2,0,5,2,2,패,1,광주,,,,,,,,108,서울,10.23,16.7,,56
5.30금,5.3,SK 와이번스,10,0,1,6,2,0,승,0,대전,,,,,,,,108,서울,10.24,18,,71
5.30금,5.3,한화 이글스,6,1,1,4,0,0,패,1,대전,,,,,,,,108,서울,10.25,18.6,,77
5.31토,5.3,LG 트윈스,13,2,2,7,0,0,승,0,서울,,,,,,,,108,서울,10.26,18.2,,81
5.31토,5.3,키움 히어로즈,12,1,1,10,1,0,패,1,서울,,,,,,,,108,서울,10.27,12.9,,32
5.31토,5.3,롯데 자이언츠,29,2,0,4,1,1,승,0,서울,,,,,,,,108,서울,10.28,14,,34
5.31토,5.3,두산 베어스,5,1,0,3,1,2,패,1,서울,,,,,,,,108,서울,10.29,16.3,,34
5.31토,5.3,NC 다이노스,12,1,2,8,1,1,승,0,광주,,,,,,,,108,서울,10.30,17.1,,40
5.31토,5.3,KIA 타이거즈,9,3,1,7,0,0,패,1,광주,,,,,,,,112,인천,4.1,16.7,,27
5.31토,5.3,SK 와이번스,11,0,0,1,1,0,승,0,대전,,,,,,,,112,인천,4.2,14.3,,49
5.31토,5.3,한화 이글스,11,1,1,6,1,1,패,1,대전,,,,,,,,112,인천,4.3,9.9,,60
,,,,,,,,,,,,,,,,,,,112,인천,4.4,7.3,,56
,,,,,,,,,,,,,,,,,,,112,인천,4.5,6.7,,69
team_text,,번호,,,,,,,,,,,,,,,,,112,인천,4.6,8.3,,71
NC 다이노스,,1,,,,,,,,,,,,,,,,,112,인천,4.7,10.8,,65
두산 베어스,,2,,,,,,,,,,,,,,,,,112,인천,4.8,13.4,,76
KT위즈,,3,,,,,,,,,,,,,,,,,112,인천,4.9,9.4,,94
LG 트윈스,,4,,,,,,,,,,,,,,,,,112,인천,4.10,11.6,,87
키움 히어로즈,,5,,,,,,,,,,,,,,,,,112,인천,4.11,12.8,,83
KIA 타이거즈,,6,,,,,,,,,,,,,,,,,112,인천,4.12,13.7,,86
롯데 자이언츠,,7,,,,,,,,,,,,,,,,,112,인천,4.13,16.3,,57
삼성 라이온즈,,8,,,,,,,,,,,,,,,,,112,인천,4.14,14.5,,62
SK 와이번스,,9,,,,,,,,,,,,,,,,,112,인천,4.15,10.8,,99
한화 이글스,,10,,,,,,,,,,,,,,,,,112,인천,4.16,12.1,,93
,,,,,,,,,,,,,,,,,,,112,인천,4.17,16.2,,61
,,,,,,,,,,,,,,,,,,,112,인천,4.18,16.4,,53
