day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,행 레이블,평균 : temp
4.16수,삼성 라이온즈,4,0,0,10,0,1,0,대구,25.2,0,20,,,,
4.18금,삼성 라이온즈,12,3,2,9,1,1,1,창원,15.4,0,69,,,,
4.19토,삼성 라이온즈,4,0,0,10,0,0,0,창원,14,0,43,,,,
4.20일,삼성 라이온즈,12,0,1,5,2,0,1,창원,14.1,0,61,,,,
4.22화,삼성 라이온즈,12,1,3,5,0,1,1,대구,20.7,0,26,,,,
4.23수,삼성 라이온즈,11,1,3,1,0,2,1,대구,24.5,0,12,,,,
4.24목,삼성 라이온즈,15,2,3,4,1,0,1,대구,24.3,0,16,,,,
4.25금,삼성 라이온즈,19,3,0,4,1,0,1,서울,23.1,0,22,,,,
4.26토,삼성 라이온즈,7,1,0,6,1,1,0,서울,20.6,0,35,,,,
4.27일,삼성 라이온즈,6,0,0,14,1,1,1,서울,16.9,0,70,,,,
5.3토,삼성 라이온즈,8,0,0,6,0,1,0,대구,21.6,0,15,,,,
5.4일,삼성 라이온즈,9,0,3,2,1,0,1,대구,20,0,28,,,,
5.5월,삼성 라이온즈,5,0,2,6,1,0,1,대구,17.9,0,15,,,,
5.6화,삼성 라이온즈,14,0,2,5,0,1,1,인천,13.4,0,43,,,,
5.7수,삼성 라이온즈,6,0,0,8,0,0,1,인천,16.6,0,55,,,,
5.8목,삼성 라이온즈,6,2,1,7,0,0,1,인천,14.7,0,86,,,,
5.9금,삼성 라이온즈,17,4,0,1,0,0,1,서울,23,0,31,,,,
5.10토,삼성 라이온즈,5,0,1,4,2,2,0,서울,25.8,0,35,,,,
5.11일,삼성 라이온즈,3,0,1,4,0,1,0,서울,21.1,0.3,59,,,,
5.13화,삼성 라이온즈,13,2,4,2,0,0,1,대구,29.3,0,20,,,,
5.14수,삼성 라이온즈,11,0,1,5,1,1,1,대구,21.7,0,48,,,,
5.16금,삼성 라이온즈,6,2,1,5,1,0,1,광주,23.3,0,40,,,,
5.17토,삼성 라이온즈,18,3,0,6,2,3,1,광주,25.3,0,22,,,,
5.18일,삼성 라이온즈,16,1,2,6,0,0,1,광주,24.9,0,34,,,,
5.20화,삼성 라이온즈,9,1,0,2,0,2,1,대구,22.7,0,50,,,,
5.21수,삼성 라이온즈,7,3,2,4,0,0,1,대구,25.8,0,30,,,,
5.22목,삼성 라이온즈,9,2,1,6,1,2,1,대구,22.2,0,53,,,,
