day_text,times_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
8.27목,18:30,kt wiz,12,1,1,3,2,1,승
8.27목,18:30,두산 베어스,8,0,0,14,0,0,패
8.27목,18:30,삼성 라이온즈,8,1,2,4,1,1,승
8.27목,18:30,SK 와이번스,7,0,1,8,1,0,승
8.27목,18:30,LG 트윈스,9,0,0,7,1,2,패
8.27목,18:30,키움 히어로즈,10,1,1,3,1,0,패
8.27목,18:30,롯데 자이언츠,13,0,1,10,1,1,승
8.28금,18:30,한화 이글스,14,3,0,8,2,0,승
8.28금,18:30,NC 다이노스,11,1,2,4,1,0,패
8.28금,18:30,KIA 타이거즈,3,0,0,10,0,0,패
8.28금,18:30,kt wiz,13,4,2,6,0,0,승
8.28금,18:30,두산 베어스,12,0,1,13,1,2,승
8.28금,18:30,삼성 라이온즈,8,3,3,12,1,0,패
8.28금,18:30,SK 와이번스,11,1,0,3,0,1,승
8.28금,18:30,LG 트윈스,4,0,1,5,1,0,패
8.28금,18:30,키움 히어로즈,11,1,1,8,0,0,승
8.28금,18:30,롯데 자이언츠,9,0,0,10,1,1,패
8.29토,18:00,한화 이글스,7,0,2,9,1,1,패
8.29토,18:00,두산 베어스,10,1,2,5,2,0,승
8.29토,18:00,LG 트윈스,10,2,1,3,1,1,승
8.29토,18:00,삼성 라이온즈,8,1,1,10,1,2,패
8.29토,18:00,NC 다이노스,11,1,0,6,0,0,승
8.29토,18:00,롯데 자이언츠,8,1,0,7,0,0,패
8.29토,18:00,SK 와이번스,7,0,1,6,2,0,패
8.29토,18:00,kt wiz,12,1,0,4,1,0,승
8.29토,18:00,키움 히어로즈,17,2,2,6,1,0,승
8.29토,18:00,KIA 타이거즈,11,1,0,9,0,1,패
8.30일,18:00,한화 이글스,12,1,3,5,3,0,패
8.30일,18:00,두산 베어스,7,2,0,5,0,2,승
8.30일,18:00,LG 트윈스,16,3,0,8,0,2,패
8.30일,18:00,삼성 라이온즈,19,4,2,5,0,0,승
8.30일,18:00,NC 다이노스,14,1,1,8,2,0,승
8.30일,18:00,롯데 자이언츠,9,0,1,12,0,1,패
8.30일,18:00,SK 와이번스,8,0,0,8,1,0,패
8.30일,18:00,kt wiz,11,2,0,10,0,1,승
8.30일,18:00,키움 히어로즈,10,1,1,4,0,0,승
8.30일,18:00,KIA 타이거즈,8,0,0,8,1,0,패
