day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity,,,,,,,,,
8.23금,키움 히어로즈,9,0,0,5,2,2,0,서울,26.9,0,73,,,,,,,,,
8.24토,키움 히어로즈,6,0,2,5,1,0,1,서울,30.2,0,30,,,,,,,,,
8.25일,키움 히어로즈,8,0,0,7,1,0,0,서울,30.7,0,29,,,,,,,,,
8.27화,키움 히어로즈,5,0,1,5,0,1,1,서울,27.8,0,55,,,,,,,,,
8.28수,키움 히어로즈,8,1,1,9,1,0,1,서울,28.8,0,51,,,,,,,,,
8.30금,키움 히어로즈,11,1,3,7,1,1,1,광주,27.8,0,67,,,,,,,,,
8.31토,키움 히어로즈,8,1,1,7,0,1,0,대전,27.3,0,61,,,,,,,,,
9.1일,키움 히어로즈,11,1,3,7,1,0,1,대전,26.4,0,64,,,,,,,,,
9.3화,키움 히어로즈,13,0,1,11,0,0,0,서울,25.5,0,29,,,,,,,,,
9.4수,키움 히어로즈,8,0,2,9,1,1,1,서울,26,0,35,,,,,,,,,
9.5목,키움 히어로즈,9,0,1,10,1,2,1,창원,24,0,54,,,,,,,,,
9.7토,키움 히어로즈,13,1,3,6,0,0,1,서울,25.8,0,44,,,,,,,,,
9.8일,키움 히어로즈,8,3,0,5,0,0,1,서울,26.1,0,42,,,,,,,,,
9.11수,키움 히어로즈,11,0,0,7,3,1,0,서울,20.7,0,90,,,,,,,,,
9.14토,키움 히어로즈,9,2,0,7,0,2,1,인천,24.1,0,86,,,,,,,,,
9.15일,키움 히어로즈,10,3,2,5,0,1,1,인천,25.8,0,56,,,,,,,,,
9.16월,키움 히어로즈,8,1,1,8,0,0,1,창원,24,0,60,,,,,,,,,
9.17화,키움 히어로즈,12,1,1,9,0,0,1,부산,24.7,0,49,,,,,,,,,
9.19목,키움 히어로즈,6,1,4,9,2,0,1,광주,27.8,0,44,,,,,,,,,
9.20금,키움 히어로즈,11,2,1,5,1,0,1,광주,27.2,0,57,,,,,,,,,
9.21토,키움 히어로즈,10,1,1,9,0,2,0,서울,25.7,0,62,,,,,,,,,
