day_text.1,time_text,team_text,location,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,temp,rain,wind,d_wind,humidity,atmosphere,surface
4.25토,17:00,KIA 타이거즈,광주,7,1,1,9,0,0,승,24.2,,2.4,320,15,1010.1,31.6
4.25토,17:00,두산 베어스,광주,11,1,1,6,2,0,패,24.2,,2.4,320,15,1010.1,31.6
4.25토,17:00,LG 트윈스,서울,7,1,3,9,0,0,승,21.4,,5.1,250,16,1008.4,22.3
4.25토,17:00,NC 다이노스,서울,8,1,0,6,1,0,패,21.4,,5.1,250,16,1008.4,22.3
4.25토,17:00,키움 히어로즈,서울,9,2,0,9,2,0,승,21.4,,5.1,250,16,1008.4,22.3
4.25토,17:00,kt wiz,서울,4,0,0,7,1,1,패,21.4,,5.1,250,16,1008.4,22.3
4.25토,17:00,SK 와이번스,인천,9,1,1,6,1,2,패,17.9,,1.9,230,36,1010.8,22.1
4.25토,17:00,한화 이글스,인천,11,0,1,7,0,2,승,17.9,,1.9,230,36,1010.8,22.1
4.25토,17:00,삼성 라이온즈,대구,14,3,0,5,0,0,패,26.6,,3.8,290,16,1010,33.6
4.25토,17:00,롯데 자이언츠,대구,13,5,0,6,2,6,승,26.6,,3.8,290,16,1010,33.6
4.26일,14:00,KIA 타이거즈,광주,5,0,2,13,0,1,패,26.4,,3,250,21,1010.7,42.1
4.26일,14:00,두산 베어스,광주,11,0,1,3,1,0,승,26.4,,3,250,21,1010.7,42.1
4.26일,14:00,SK 와이번스,인천,11,1,0,5,0,1,패,20.1,,4.5,250,36,1010.1,25
4.26일,14:00,한화 이글스,인천,8,0,0,2,0,1,승,20.1,,4.5,250,36,1010.1,25
4.26일,14:00,삼성 라이온즈,대구,3,0,0,6,1,0,패,27.9,,2.8,270,21,1010.3,45.8
4.26일,14:00,롯데 자이언츠,대구,11,1,0,9,0,0,승,27.9,,2.8,270,21,1010.3,45.8
4.26일,14:00,키움 히어로즈,서울,11,2,0,6,0,2,승,23.5,,5.9,230,26,1007.9,36.3
4.26일,14:00,kt wiz,서울,7,0,0,10,1,0,패,23.5,,5.9,230,26,1007.9,36.3
4.26일,17:00,LG 트윈스,서울,10,1,2,10,0,0,승,23.6,,6,230,42,1005.9,25.4
4.26일,17:00,NC 다이노스,서울,11,1,2,13,0,1,패,23.6,,6,230,42,1005.9,25.4
4.28화,19:00,kt wiz,수원,5,1,0,10,1,2,패,22.6,,1.7,270,48,1007.2,19.1
4.28화,19:00,두산 베어스,수원,8,2,1,2,1,0,승,22.6,,1.7,270,48,1007.2,19.1
4.28화,19:00,LG 트윈스,서울,10,1,0,14,1,1,승,22.5,,4.1,270,39,1001,22
4.28화,19:00,삼성 라이온즈,서울,7,2,1,6,1,0,패,22.5,,4.1,270,39,1001,22
4.28화,19:00,롯데 자이언츠,부산,8,0,0,10,0,0,패,18.5,0,3.4,270,77,1005.7,19.9
4.28화,19:00,키움 히어로즈,부산,11,2,0,4,0,0,승,18.5,0,3.4,270,77,1005.7,19.9
4.28화,19:00,NC 다이노스,창원,14,1,1,3,1,0,승,16.5,0.5,1.2,250,88,1009.6,17.5
4.28화,19:00,SK 와이번스,창원,12,1,1,11,0,3,패,16.5,0.5,1.2,250,88,1009.6,17.5
4.29수,19:00,한화 이글스,대전,9,2,0,5,2,0,패,16.9,0,3.5,110,88,1003.4,16.4
4.29수,19:00,KIA 타이거즈,대전,10,1,0,4,0,0,승,16.9,0,3.5,110,88,1003.4,16.4
4.29수,19:00,LG 트윈스,서울,7,0,0,10,0,0,패,17.5,,2.7,90,77,1001.8,16.7
4.29수,19:00,삼성 라이온즈,서울,10,2,0,3,0,0,승,17.5,,2.7,90,77,1001.8,16.7
4.30목,19:00,한화 이글스,대전,8,1,3,9,1,0,승,23.3,,1.7,110,56,1003.8,20.7
4.30목,19:00,KIA 타이거즈,대전,3,0,0,7,2,2,패,23.3,,1.7,110,56,1003.8,20.7
4.30목,19:00,kt wiz,수원,9,0,1,5,2,1,패,22.3,,2.3,290,55,1007.9,19.4
4.30목,19:00,두산 베어스,수원,9,1,0,8,1,2,승,22.3,,2.3,290,55,1007.9,19.4
4.30목,19:00,LG 트윈스,서울,9,2,1,6,1,1,패,23.7,,3.8,290,49,1001.7,21.5
4.30목,19:00,삼성 라이온즈,서울,14,3,5,6,2,1,승,23.7,,3.8,290,49,1001.7,21.5
4.30목,19:00,롯데 자이언츠,부산,11,1,0,13,2,1,승,18.5,,1.7,90,80,1005.4,18.4
4.30목,19:00,키움 히어로즈,부산,13,0,0,7,1,2,패,18.5,,1.7,90,80,1005.4,18.4
4.30목,19:00,NC 다이노스,창원,9,1,2,6,2,1,패,19,,0.4,0,79,1008.8,19.3
4.30목,19:00,SK 와이번스,창원,11,0,1,4,0,2,승,19,,0.4,0,79,1008.8,19.3
5.1금,19:00,롯데 자이언츠,부산,12,1,0,8,4,0,패,19.7,,1.7,90,69,1005.3,19.7
5.1금,19:00,한화 이글스,부산,9,2,0,8,0,4,승,19.7,,1.7,90,69,1005.3,19.7
5.1금,19:00,NC 다이노스,창원,9,1,3,7,0,0,승,18.9,,1.7,160,71,1008.8,19.7
5.1금,19:00,kt wiz,창원,8,1,0,10,0,1,패,18.9,,1.7,160,71,1008.8,19.7
5.1금,19:00,두산 베어스,서울,7,1,0,3,1,0,패,22.4,,4.2,250,47,1002.1,22.4
5.1금,19:00,삼성 라이온즈,서울,14,2,1,4,2,0,승,22.4,,4.2,250,47,1002.1,22.4
5.1금,19:00,키움 히어로즈,서울,9,1,2,11,1,0,승,22.4,,4.2,250,47,1002.1,22.4
5.1금,19:00,LG 트윈스,서울,2,1,0,5,1,0,패,22.4,,4.2,250,47,1002.1,22.4
5.1금,19:00,SK 와이번스,인천,8,1,0,6,0,1,승,19,,2.1,290,85,1004.3,18.9
5.1금,19:00,KIA 타이거즈,인천,4,0,3,5,0,2,패,19,,2.1,290,85,1004.3,18.9
5.2토,17:00,롯데 자이언츠,부산,7,0,0,10,0,1,패,22.4,,3.4,230,63,1004.1,26.3
5.2토,17:00,한화 이글스,부산,6,2,0,4,0,0,승,22.4,,3.4,230,63,1004.1,26.3
5.2토,17:00,NC 다이노스,창원,11,1,2,8,0,0,승,23.2,,2.4,200,51,1007.3,24.5
5.2토,17:00,kt wiz,창원,6,1,0,5,0,2,패,23.2,,2.4,200,51,1007.3,24.5
5.2토,17:00,두산 베어스,서울,12,1,1,7,1,1,패,25.1,,3.6,250,45,1000.1,28.5
5.2토,17:00,삼성 라이온즈,서울,8,0,1,7,0,0,승,25.1,,3.6,250,45,1000.1,28.5
5.2토,17:00,키움 히어로즈,서울,8,0,0,4,3,0,승,25.1,,3.6,250,45,1000.1,28.5
5.2토,17:00,LG 트윈스,서울,6,0,0,9,0,2,패,25.1,,3.6,250,45,1000.1,28.5
